onset	duration	trial_type	response_time	stim_file
0.0	2.0	31.0	0.0	Cricket/v_Cricket_id_sXarwBuVKR0_start_56.5_label_1.mp4
4.0	2.0	132.0	0.0	Sailing/v_Sailing_id_vrqUaBn5k6s_start_25.0_label_1.mp4
8.0	2.0	122.0	0.0	Putting on makeup/v_Putting on makeup_id_6L3r04yfeG4_start_72.0_label_1.mp4
12.0	2.0	56.0	0.0	Grooming horse/v_Grooming horse_id_77upFFRqTaQ_start_37.5_label_1.mp4
16.0	2.0	14.0	0.0	Breakdancing/v_Breakdancing_id_43hQNmW-6_k_start_78.0_label_1.mp4
24.0	2.0	150.0	0.0	Starting a campfire/v_Starting a campfire_id_yd3Q9NOUQAc_start_8.5_label_1.mp4
28.0	2.0	50.0	0.0	Fun sliding down/v_Fun sliding down_id_zp3tRZJA1gA_start_180.5_label_1.mp4
32.0	2.0	174.0	0.0	Washing hands/v_Washing hands_id_WYKqtMQuyXc_start_11.5_label_1.mp4
36.0	2.0	172.0	0.0	Walking the dog/v_Walking the dog_id_6_0Nl7F4Hbg_start_1.5_label_1.mp4
40.0	2.0	143.0	0.0	Smoking hookah/v_Smoking hookah_id_xrFQsX2nS4o_start_22.0_label_1.mp4
48.0	2.0	36.0	0.0	Discus throw/v_Discus throw_id_3szzH8rx8mA_start_4.5_label_1.mp4
52.0	2.0	22.0	0.0	Canoeing/v_Canoeing_id_XxUZ7wKS9vM_start_80.0_label_1.mp4
56.0	2.0	26.0	0.0	Chopping wood/v_Chopping wood_id_bzPLTlx-SMg_start_3.0_label_1.mp4
60.0	2.0	125.0	0.0	Raking leaves/v_Raking leaves_id_A8ygnicXlPQ_start_80.0_label_1.mp4
64.0	2.0	100.0	0.0	Playing flauta/v_Playing flauta_id_F60KxiL6cmM_start_88.0_label_1.mp4
72.0	2.0	97.0	0.0	Playing congas/v_Playing congas_id_ZHdlTi9Du1c_start_147.5_label_1.mp4
76.0	2.0	37.0	0.0	Dodgeball/v_Dodgeball_id_DimMVpIqC8I_start_102.5_label_1.mp4
80.0	2.0	166.0	0.0	Using the pommel horse/v_Using the pommel horse_id_va1EfdPcqm0_start_19.0_label_1.mp4
84.0	2.0	44.0	0.0	Doing step aerobics/v_Doing step aerobics_id_WfalVDHxlcs_start_14.0_label_1.mp4
88.0	2.0	99.0	0.0	Playing field hockey/v_Playing field hockey_id_sacEj2hJGAY_start_23.0_label_1.mp4
96.0	2.0	115.0	0.0	Pole vault/v_Pole vault_id_ubZQuoObWtk_start_28.5_label_1.mp4
100.0	2.0	24.0	0.0	Carving jack-o-lanterns/v_Carving jack-o-lanterns_id_AuEdwMa6qSo_start_48.0_label_1.mp4
104.0	2.0	70.0	0.0	Javelin throw/v_Javelin throw_id_4G2yRpUeyAQ_start_14.5_label_1.mp4
108.0	2.0	28.0	0.0	Cleaning shoes/v_Cleaning shoes_id_lOUb2aAAZwE_start_56.0_label_1.mp4
112.0	2.0	94.0	0.0	Playing bagpipes/v_Playing bagpipes_id_tC9n_gkaT94_start_28.0_label_1.mp4
120.0	2.0	164.0	0.0	Using the balance beam/v_Using the balance beam_id_ezeyCsZF_YA_start_15.0_label_1.mp4
124.0	2.0	137.0	0.0	Shoveling snow/v_Shoveling snow_id_KMFyixfGxm0_start_8.5_label_1.mp4
128.0	2.0	145.0	0.0	Snow tubing/v_Snow tubing_id_MHCSzYx3Za4_start_121.0_label_1.mp4
132.0	2.0	61.0	0.0	Having an ice cream/v_Having an ice cream_id_QyanjFIx1z0_start_10.0_label_1.mp4
136.0	2.0	169.0	0.0	Vacuuming floor/v_Vacuuming floor_id_GTZWrT7DzV4_start_125.5_label_1.mp4
144.0	2.0	153.0	0.0	Swimming/v_Swimming_id_RsZJI4IPX3A_start_111.5_label_1.mp4
148.0	2.0	63.0	0.0	Hitting a pinata/v_Hitting a pinata_id_NnHnMgm_vko_start_5.0_label_1.mp4
152.0	2.0	133.0	0.0	Scuba diving/v_Scuba diving_id_JwDtRXS6UZo_start_122.0_label_1.mp4
156.0	2.0	64.0	0.0	Hopscotch/v_Hopscotch_id_xKpJ0dRmC4I_start_2.5_label_1.mp4
160.0	2.0	32.0	0.0	Croquet/v_Croquet_id_aZlDaYi70p4_start_123.5_label_1.mp4
168.0	2.0	72.0	0.0	Kite flying/v_Kite flying_id_eVyPxPi95Pg_start_2.0_label_1.mp4
172.0	2.0	75.0	0.0	Laying tile/v_Laying tile_id_LFwLtdr18ck_start_98.0_label_1.mp4
176.0	2.0	168.0	0.0	Using uneven bars/v_Using uneven bars_id_2MKq2hicvDg_start_3.0_label_1.mp4
180.0	2.0	2.0	0.0	Arm wrestling/v_Arm wrestling_id_XE3XZrHzOok_start_16.0_label_1.mp4
184.0	2.0	20.0	0.0	Calf roping/v_Calf roping_id_kp3vn_USmzI_start_89.5_label_1.mp4
192.0	2.0	4.0	0.0	BMX/v_BMX_id_2qlitUl8_Rs_start_36.5_label_1.mp4
196.0	2.0	136.0	0.0	Shot put/v_Shot put_id_OMcoCyyRNrI_start_24.0_label_1.mp4
200.0	2.0	84.0	0.0	Mowing the lawn/v_Mowing the lawn_id_hZYxfbn5fCk_start_47.5_label_1.mp4
204.0	2.0	159.0	0.0	Trimming branches or hedges/v_Trimming branches or hedges_id_njz-8-eSSIA_start_34.0_label_1.mp4
208.0	2.0	80.0	0.0	Making a sandwich/v_Making a sandwich_id_4sE_b8JStT8_start_61.5_label_1.mp4
216.0	2.0	11.0	0.0	Belly dance/v_Belly dance_id_84f5YnUbI4Q_start_131.5_label_1.mp4
220.0	2.0	161.0	0.0	Tug of war/v_Tug of war_id_FFURUajsgQo_start_2.0_label_1.mp4
224.0	2.0	10.0	0.0	Beer pong/v_Beer pong_id_i-i0NUWzVCU_start_14.5_label_1.mp4
228.0	2.0	68.0	0.0	Ice fishing/v_Ice fishing_id_7plvPFoX-HQ_start_10.0_label_1.mp4
232.0	2.0	171.0	0.0	Wakeboarding/v_Wakeboarding_id_jaXQxb4v5sI_start_15.5_label_1.mp4
240.0	2.0	71.0	0.0	Kayaking/v_Kayaking_id_IgR_bqCBpIE_start_177.0_label_1.mp4
244.0	2.0	33.0	0.0	Cutting the grass/v_Cutting the grass_id_Op_B2EOkPU0_start_30.5_label_1.mp4
248.0	2.0	134.0	0.0	Sharpening knives/v_Sharpening knives_id_d30xFxjG8_0_start_75.5_label_1.mp4
252.0	2.0	83.0	0.0	Mooping floor/v_Mooping floor_id_5vksCAq-uxc_start_13.0_label_1.mp4
256.0	2.0	66.0	0.0	Hula hoop/v_Hula hoop_id_xh9zsOROCaA_start_4.0_label_1.mp4
264.0	2.0	6.0	0.0	Ballet/v_Ballet_id_s8rDhaFHJTE_start_60.5_label_1.mp4
268.0	2.0	170.0	0.0	Volleyball/v_Volleyball_id_B0iczNQcKFo_start_14.5_label_1.mp4
272.0	2.0	108.0	0.0	Playing pool/v_Playing pool_id_cA9UHNFkvhM_start_6.5_label_1.mp4
276.0	2.0	98.0	0.0	Playing drums/v_Playing drums_id_BGgb3D6-63s_start_8.0_label_1.mp4
280.0	2.0	147.0	0.0	Spinning/v_Spinning_id_-RTfnptMEOs_start_8.0_label_1.mp4
