onset	duration	trial_type	response_time	stim_file
88.0	2.0	7.0	0.0	Bathing dog/v_Bathing dog_id_XLyGeacEU40_start_19.5_label_1.mp4
96.0	2.0	17.0	0.0	Building sandcastles/v_Building sandcastles_id_XxZi3wWp0vU_start_8.0_label_1.mp4
100.0	2.0	32.0	0.0	Croquet/v_Croquet_id_2wiHOexEWEo_start_9.0_label_1.mp4
104.0	2.0	160.0	0.0	Triple jump/v_Triple jump_id_xqJu-XY9mk4_start_5.5_label_1.mp4
108.0	2.0	91.0	0.0	Plataform diving/v_Plataform diving_id_oJkBR-Fv-H0_start_6.0_label_1.mp4
112.0	2.0	25.0	0.0	Cheerleading/v_Cheerleading_id_SPUSwgvapfw_start_43.5_label_1.mp4
120.0	2.0	18.0	0.0	Bullfighting/v_Bullfighting_id_s5yqs7cyQRw_start_133.0_label_1.mp4
124.0	2.0	48.0	0.0	Fixing bicycle/v_Fixing bicycle_id_EZvxA7qBBCU_start_49.0_label_1.mp4
128.0	2.0	65.0	0.0	Horseback riding/v_Horseback riding_id_-vta2lESQxU_start_8.0_label_1.mp4
132.0	2.0	22.0	0.0	Canoeing/v_Canoeing_id_59yhHwR4w8o_start_98.0_label_1.mp4
136.0	2.0	49.0	0.0	Fixing the roof/v_Fixing the roof_id_GpGx8CGdKvo_start_54.5_label_1.mp4
144.0	2.0	72.0	0.0	Kite flying/v_Kite flying_id_50pENyzhEUo_start_127.0_label_1.mp4
148.0	2.0	20.0	0.0	Calf roping/v_Calf roping_id__WDMfPSdaAI_start_4.0_label_1.mp4
152.0	2.0	101.0	0.0	Playing guitarra/v_Playing guitarra_id__x6-VK8zcVE_start_44.0_label_1.mp4
156.0	2.0	133.0	0.0	Scuba diving/v_Scuba diving_id_mYcSH2jRte4_start_14.0_label_1.mp4
160.0	2.0	23.0	0.0	Capoeira/v_Capoeira_id_0cG7QAfqv_g_start_102.0_label_1.mp4
168.0	2.0	15.0	0.0	Brushing hair/v_Brushing hair_id_HiXPKs92MoI_start_39.0_label_1.mp4
172.0	2.0	8.0	0.0	Baton twirling/v_Baton twirling_id_NKRr6ejhdwQ_start_27.0_label_1.mp4
176.0	2.0	71.0	0.0	Kayaking/v_Kayaking_id_j7crs7KHMYg_start_92.5_label_1.mp4
180.0	2.0	37.0	0.0	Dodgeball/v_Dodgeball_id_fcqUgko-JiQ_start_40.0_label_1.mp4
184.0	2.0	83.0	0.0	Mooping floor/v_Mooping floor_id_KOdZ92lYHI0_start_5.0_label_1.mp4
192.0	2.0	153.0	0.0	Swimming/v_Swimming_id_9y41PNrqB3c_start_114.0_label_1.mp4
196.0	2.0	4.0	0.0	BMX/v_BMX_id_W02FQyj--qw_start_7.5_label_1.mp4
200.0	2.0	5.0	0.0	Baking cookies/v_Baking cookies_id_tYGU2FYqr9c_start_144.5_label_1.mp4
204.0	2.0	137.0	0.0	Shoveling snow/v_Shoveling snow_id_VHIoy9toQ3U_start_26.0_label_1.mp4
208.0	2.0	167.0	0.0	Using the rowing machine/v_Using the rowing machine_id_xGTdVSCHuAc_start_36.0_label_1.mp4
216.0	2.0	6.0	0.0	Ballet/v_Ballet_id_Izlpce4Fkaw_start_35.5_label_1.mp4
220.0	2.0	29.0	0.0	Cleaning sink/v_Cleaning sink_id_YAs7jXQRMSc_start_2.5_label_1.mp4
224.0	2.0	50.0	0.0	Fun sliding down/v_Fun sliding down_id_v5uC2hbsKpo_start_53.0_label_1.mp4
228.0	2.0	152.0	0.0	Surfing/v_Surfing_id_2vln8UaAliM_start_84.5_label_1.mp4
232.0	2.0	100.0	0.0	Playing flauta/v_Playing flauta_id_CDMkzesuRcg_start_31.0_label_1.mp4
240.0	2.0	12.0	0.0	Blow-drying hair/v_Blow-drying hair_id_1QByJDlWxKA_start_139.5_label_1.mp4
244.0	2.0	135.0	0.0	Shaving/v_Shaving_id_Q4wBO2TZ_yY_start_106.0_label_1.mp4
248.0	2.0	56.0	0.0	Grooming horse/v_Grooming horse_id_RnzAhHIsHMM_start_76.5_label_1.mp4
252.0	2.0	79.0	0.0	Making a lemonade/v_Making a lemonade_id_MsI2u1u_X7E_start_43.0_label_1.mp4
256.0	2.0	146.0	0.0	Snowboarding/v_Snowboarding_id_0qPksz6nQVM_start_16.5_label_1.mp4
264.0	2.0	45.0	0.0	Drinking coffee/v_Drinking coffee_id_ybTJugFunnA_start_80.5_label_1.mp4
268.0	2.0	87.0	0.0	Painting fence/v_Painting fence_id_JbQBsvAfbzM_start_88.0_label_1.mp4
272.0	2.0	123.0	0.0	Putting on shoes/v_Putting on shoes_id_vZc0R7rj7n4_start_55.5_label_1.mp4
276.0	2.0	13.0	0.0	Braiding hair/v_Braiding hair_id_mpiyDyXCiCg_start_145.0_label_1.mp4
280.0	2.0	132.0	0.0	Sailing/v_Sailing_id_ajvzflEpcQk_start_142.5_label_1.mp4
